ANIME_ID,NAME,SCORE,TYPE,EPISODES,STATUS,STUDIOS,SOURCE,RATING,RANK,POPULARITY,FAVORITES,SCORED_BY,MEMBERS,DURATION_FINAL,PREMIERED_SEASON,PREMIERED_YEAR,Action,Adventure,AvantGarde,AwardWinning,BoysLove,Comedy,Drama,Ecchi,Erotica,Fantasy,GirlsLove,Gourmet,Hentai,Horror,Mystery,Romance,Sci-Fi,SliceofLife,Sports,Supernatural,Suspense
1,Cowboy Bebop,8.75,TV,26.0,Finished Airing,Sunrise,Original,R - 17+ (violence & profanity),41.0,43,78525,914193.0,1771505,24.0,spring,1998.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5,Cowboy Bebop: Tengoku no Tobira,8.38,Movie,1.0,Finished Airing,Bones,Original,R - 17+ (violence & profanity),189.0,602,1448,206248.0,360978,115.0,UNKNOWN,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,Trigun,8.22,TV,26.0,Finished Airing,Madhouse,Manga,PG-13 - Teens 13 or older,328.0,246,15035,356739.0,727252,24.0,spring,1998.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7,Witch Hunter Robin,7.25,TV,26.0,Finished Airing,Sunrise,Original,PG-13 - Teens 13 or older,2764.0,1795,613,42829.0,111931,25.0,summer,2002.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
8,Bouken Ou Beet,6.94,TV,52.0,Finished Airing,Toei Animation,Manga,PG - Children,4240.0,5126,14,6413.0,15001,23.0,fall,2004.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
15,Eyeshield 21,7.92,TV,145.0,Finished Airing,Gallop,Manga,PG-13 - Teens 13 or older,688.0,1252,1997,86524.0,177688,23.0,spring,2005.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
16,Hachimitsu to Clover,8.0,TV,24.0,Finished Airing,J.C.Staff,Manga,PG-13 - Teens 13 or older,589.0,862,4136,81747.0,260166,23.0,spring,2005.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
17,Hungry Heart: Wild Striker,7.55,TV,52.0,Finished Airing,Nippon Animation,Manga,PG-13 - Teens 13 or older,1551.0,4212,237,12960.0,24172,23.0,fall,2002.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
18,Initial D Fourth Stage,8.16,TV,24.0,Finished Airing,A.C.G.T.,Manga,PG-13 - Teens 13 or older,393.0,1273,1237,97878.0,173710,27.0,spring,2004.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Monster,8.87,TV,74.0,Finished Airing,Madhouse,Manga,R+ - Mild Nudity,26.0,142,47235,368569.0,1013100,24.0,spring,2004.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
20,Naruto,7.99,TV,220.0,Finished Airing,Pierrot,Manga,PG-13 - Teens 13 or older,599.0,8,76343,1883772.0,2717330,23.0,fall,2002.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
21,One Piece,8.69,TV,-1.0,Currently Airing,Toei Animation,Manga,PG-13 - Teens 13 or older,55.0,20,198986,1226493.0,2168904,24.0,fall,1999.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
22,Tennis no Ouji-sama,7.86,TV,178.0,Finished Airing,Trans Arts,Manga,PG-13 - Teens 13 or older,805.0,1246,3004,81992.0,178273,22.0,fall,2001.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
23,Ring ni Kakero 1,6.39,TV,12.0,Finished Airing,Toei Animation,Manga,PG - Children,6943.0,8288,6,1378.0,4581,25.0,fall,2004.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
24,School Rumble,7.89,TV,26.0,Finished Airing,Studio Comet,Manga,PG-13 - Teens 13 or older,756.0,687,5139,146597.0,320203,23.0,fall,2004.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
25,Sunabouzu,7.38,TV,24.0,Finished Airing,Gonzo,Manga,R - 17+ (violence & profanity),2167.0,1546,822,53709.0,134894,24.0,fall,2004.0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
26,Texhnolyze,7.76,TV,22.0,Finished Airing,Madhouse,Original,R+ - Mild Nudity,990.0,935,4786,54857.0,239423,23.0,spring,2003.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
27,Trinity Blood,7.29,TV,24.0,Finished Airing,Gonzo,Light novel,R - 17+ (violence & profanity),2591.0,1233,1298,79130.0,179583,24.0,spring,2005.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
28,Yakitate!! Japan,7.91,TV,69.0,Finished Airing,Sunrise,Manga,PG-13 - Teens 13 or older,704.0,1992,897,40492.0,95380,24.0,fall,2004.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
29,Zipang,7.48,TV,26.0,Finished Airing,Studio Deen,Manga,PG-13 - Teens 13 or older,1778.0,4430,180,7273.0,21391,24.0,fall,2004.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
30,Neon Genesis Evangelion,8.35,TV,26.0,Finished Airing,"Gainax, Tatsunoko Production",Original,PG-13 - Teens 13 or older,204.0,45,100638,1024927.0,1718019,24.0,fall,1995.0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
31,Neon Genesis Evangelion: Death & Rebirth,7.46,Movie,1.0,Finished Airing,"Gainax, Production I.G",Original,R - 17+ (violence & profanity),1855.0,889,687,140233.0,251617,104.0,UNKNOWN,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
32,Neon Genesis Evangelion: The End of Evangelion,8.55,Movie,1.0,Finished Airing,"Gainax, Production I.G",Original,R+ - Mild Nudity,98.0,177,27272,586441.0,879361,86.0,UNKNOWN,,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
33,Kenpuu Denki Berserk,8.56,TV,25.0,Finished Airing,OLM,Manga,R+ - Mild Nudity,96.0,325,25404,325204.0,608800,25.0,fall,1997.0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
43,Koukaku Kidoutai,8.27,Movie,1.0,Finished Airing,Production I.G,Manga,R+ - Mild Nudity,276.0,329,12339,315593.0,604276,82.0,UNKNOWN,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,8.71,OVA,4.0,Finished Airing,Studio Deen,Manga,R - 17+ (violence & profanity),48.0,834,6137,134133.0,268621,29.0,UNKNOWN,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
45,Rurouni Kenshin: Meiji Kenkaku Romantan,8.29,TV,94.0,Finished Airing,"Gallop, Studio Deen",Manga,PG-13 - Teens 13 or older,249.0,432,9907,230278.0,477389,25.0,winter,1996.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
46,Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,7.55,Movie,1.0,Finished Airing,Gallop,Manga,R - 17+ (violence & profanity),1567.0,2885,88,26859.0,50732,91.0,UNKNOWN,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Akira,8.16,Movie,1.0,Finished Airing,Tokyo Movie Shinsha,Manga,R+ - Mild Nudity,389.0,208,12961,485580.0,804581,124.0,UNKNOWN,,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
48,.hack//Sign,6.95,TV,26.0,Finished Airing,Bee Train,Original,PG-13 - Teens 13 or older,4172.0,1243,1343,83009.0,178659,24.0,spring,2002.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
49,Aa! Megami-sama!,7.29,OVA,5.0,Finished Airing,AIC,Manga,PG-13 - Teens 13 or older,2542.0,2832,246,26400.0,52627,30.0,UNKNOWN,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
50,Aa! Megami-sama! (TV),7.32,TV,24.0,Finished Airing,AIC,Manga,PG-13 - Teens 13 or older,2407.0,1392,1115,76377.0,155745,24.0,winter,2005.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
51,Tenshi Kinryouku,6.27,OVA,3.0,Finished Airing,Hal Film Maker,Manga,R+ - Mild Nudity,7564.0,2958,182,26701.0,48258,29.0,UNKNOWN,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
52,Kidou Tenshi Angelic Layer,7.26,TV,26.0,Finished Airing,Bones,Manga,PG-13 - Teens 13 or older,2727.0,2707,291,28552.0,57259,24.0,spring,2001.0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
53,Ai Yori Aoshi,7.11,TV,24.0,Finished Airing,J.C.Staff,Manga,PG-13 - Teens 13 or older,3471.0,1839,447,52942.0,108460,23.0,spring,2002.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
54,Appleseed (Movie),7.06,Movie,1.0,Finished Airing,Digital Frontier,Manga,R - 17+ (violence & profanity),3723.0,2370,170,41210.0,72186,105.0,UNKNOWN,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
55,Arc the Lad,6.51,TV,26.0,Finished Airing,Bee Train,Game,R - 17+ (violence & profanity),6294.0,5012,14,5911.0,16013,22.0,spring,1999.0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
56,Avenger,5.86,TV,13.0,Finished Airing,Bee Train,Original,R - 17+ (violence & profanity),9454.0,4856,20,6788.0,17396,24.0,fall,2003.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
57,Beck,8.29,TV,26.0,Finished Airing,Madhouse,Manga,R - 17+ (violence & profanity),252.0,669,8149,136432.0,327015,25.0,fall,2004.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
58,Blue Gender,7.03,TV,26.0,Finished Airing,AIC,Original,R+ - Mild Nudity,3873.0,2256,415,29649.0,78193,23.0,fall,1999.0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0
59,Chobits,7.4,TV,26.0,Finished Airing,Madhouse,Manga,PG-13 - Teens 13 or older,2080.0,441,3824,249019.0,469408,24.0,spring,2002.0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
60,Chrno Crusade,7.62,TV,24.0,Finished Airing,Gonzo,Manga,R - 17+ (violence & profanity),1322.0,1010,1939,102723.0,221814,23.0,fall,2003.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
61,D.N.Angel,7.17,TV,26.0,Finished Airing,Xebec,Manga,PG-13 - Teens 13 or older,3180.0,1211,1257,98061.0,182259,23.0,spring,2003.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
62,D.C.: Da Capo,6.72,TV,26.0,Finished Airing,"feel., Zexcs",Visual novel,PG-13 - Teens 13 or older,5215.0,2320,194,30349.0,74844,24.0,summer,2003.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
